Values, Voltage, Values_filtered, Voltages_filtered
1856.000000, 1.495678, 30.882093, 0.024887
1856.000000, 1.495678, 33.996509, 0.027396
1856.000000, 1.495678, 30.766302, 0.024793
1896.000000, 1.527912, 28.942157, 0.023323
1896.000000, 1.527912, -11.562197, -0.009318
1856.000000, 1.495678, -95.974115, -0.077342
1856.000000, 1.495678, -14.016153, -0.011295
1856.000000, 1.495678, -14.161057, -0.011412
1896.000000, 1.527912, -14.384771, -0.011592
1896.000000, 1.527912, -14.235619, -0.011472
1856.000000, 1.495678, -15.320341, -0.012346
1856.000000, 1.495678, 23.727865, 0.019121
1856.000000, 1.495678, 25.644931, 0.020666
1856.000000, 1.495678, -16.756043, -0.013503
1856.000000, 1.495678, -17.053891, -0.013743
1856.000000, 1.495678, -17.389012, -0.014013
1792.000000, 1.444103, -18.060591, -0.014554
1731.000000, 1.394945, -19.489256, -0.015706
1901.000000, 1.531941, 21.221089, 0.017101
1901.000000, 1.531941, 25.967854, 0.020926
1901.000000, 1.531941, 24.161393, 0.019471
1901.000000, 1.531941, 24.202993, 0.019504
1901.000000, 1.531941, 23.465131, 0.018910
1901.000000, 1.531941, 27.002881, 0.021761
1898.000000, 1.529524, -17.532004, -0.014128
1896.000000, 1.527912, -17.160834, -0.013829
1856.000000, 1.495678, -16.882035, -0.013605
1728.000000, 1.392527, 27.693609, 0.022317
1856.000000, 1.495678, 27.910584, 0.022492
1856.000000, 1.495678, 32.434916, 0.026138
1856.000000, 1.495678, -16.550325, -0.013337
1898.000000, 1.529524, -77.925074, -0.062797
1901.000000, 1.531941, -77.741811, -0.062649
1901.000000, 1.531941, -13.478077, -0.010861
1898.000000, 1.529524, -12.288549, -0.009903
1898.000000, 1.529524, 28.698957, 0.023127
1898.000000, 1.529524, -11.960942, -0.009639
1856.000000, 1.495678, 30.397919, 0.024496
1735.000000, 1.398168, 32.629853, 0.026295
1898.000000, 1.529524, 32.779768, 0.026416
1856.000000, 1.495678, 36.032614, 0.029037
1735.000000, 1.398168, 28.642872, 0.023082
1901.000000, 1.531941, -11.959035, -0.009637
1901.000000, 1.531941, -9.278702, -0.007477
1901.000000, 1.531941, -11.232381, -0.009052
1901.000000, 1.531941, -11.426494, -0.009208
1896.000000, 1.527912, -12.161520, -0.009800
1735.000000, 1.398168, -134.533917, -0.108416
1898.000000, 1.529524, 25.113900, 0.020238
1896.000000, 1.527912, 28.878376, 0.023272
1896.000000, 1.527912, 32.223269, 0.025967
1856.000000, 1.495678, 29.698008, 0.023932
1856.000000, 1.495678, 26.881572, 0.021663
1856.000000, 1.495678, -10.966566, -0.008838
1856.000000, 1.495678, -13.584994, -0.010948
1898.000000, 1.529524, -10.900181, -0.008784
1898.000000, 1.529524, -8.206562, -0.006613
1896.000000, 1.527912, -7.343108, -0.005918
1856.000000, 1.495678, 33.908704, 0.027326
1856.000000, 1.495678, 34.638170, 0.027914
1856.000000, 1.495678, 34.517240, 0.027816
