filtered_data, frequency, frequency_magnitude, threshold
955.284211, 53222.656250, 63422.366546, 173.727273
1456.374465, 53710.937500, 29738.195330, 173.727273
1504.134277, 54199.218750, 51297.132910, 173.727273
1205.138688, 54687.500000, 4409.141390, 173.727273
764.805405, 55175.781250, 71539.243721, 173.727273
211.618779, 55664.062500, 51463.170103, 173.727273
-359.923871, 56152.343750, 24681.911768, 173.727273
-671.811967, 56640.625000, 1118.894121, 173.727273
-634.432504, 57128.906250, 2757.384292, 173.727273
-647.592172, 57617.187500, 16300.025027, 173.727273
-634.977993, 58105.468750, 29556.466230, 173.727273
-495.175478, 58593.750000, 27292.790997, 173.727273
-302.921213, 59082.031250, 31582.627223, 173.727273
-264.703168, 59570.312500, 12737.271633, 173.727273
-339.538328, 60058.593750, 2506.746908, 173.727273
-271.697292, 60546.875000, 13312.931246, 173.727273
116.376377, 61035.156250, 9796.388828, 173.727273
615.575805, 61523.437500, 5611.849602, 173.727273
931.958252, 62011.718750, 19222.854034, 173.727273
1211.909082, 62500.000000, 18931.234472, 173.727273
1174.288966, 62988.281250, 17522.258108, 173.727273
745.169115, 63476.562500, 2557.433762, 173.727273
110.796900, 63964.843750, 12928.202017, 173.727273
-566.068956, 64453.125000, 15277.669526, 173.727273
-931.195487, 64941.406250, 23577.414010, 173.727273
-1194.250609, 65429.687500, 1100.085197, 173.727273
-1173.586653, 65917.968750, 6874.311169, 173.727273
-824.776032, 66406.250000, 1814.349756, 173.727273
-303.005746, 66894.531250, 4426.505942, 173.727273
290.364932, 67382.812500, 3145.266128, 173.727273
595.977596, 67871.093750, 826.673826, 173.727273
768.184862, 68359.375000, 8993.979651, 173.727273
617.302875, 68847.656250, 4607.430571, 173.727273
268.804767, 69335.937500, 1849.491631, 173.727273
-54.263019, 69824.218750, 7874.569367, 173.727273
-126.468702, 70312.500000, 5312.680816, 173.727273
-34.287490, 70800.781250, 749.971383, 173.727273
79.876357, 71289.062500, 4266.738173, 173.727273
238.740944, 71777.343750, 6762.938248, 173.727273
309.745971, 72265.625000, 5473.477826, 173.727273
300.849003, 72753.906250, 2048.274758, 173.727273
69.422013, 73242.187500, 624.837717, 173.727273
-346.225012, 73730.468750, 1736.363390, 173.727273
-747.897563, 74218.750000, 5393.087706, 173.727273
-947.776646, 74707.031250, 4776.569580, 173.727273
-827.645631, 75195.312500, 5761.287973, 173.727273
-535.287425, 75683.593750, 7072.373251, 173.727273
140.722517, 76171.875000, 3259.496594, 173.727273
725.578796, 76660.156250, 3182.197909, 173.727273
1155.298794, 77148.437500, 3178.739118, 173.727273
1240.598364, 77636.718750, 2397.808685, 173.727273
864.864591, 78125.000000, 6444.184462, 173.727273
331.058062, 78613.281250, 6896.664373, 173.727273
-314.995360, 79101.562500, 4771.996960, 173.727273
-750.791031, 79589.843750, 2120.903464, 173.727273
-936.706016, 80078.125000, 2272.754457, 173.727273
-835.425823, 80566.406250, 3812.171019, 173.727273
-506.950521, 81054.687500, 5941.853222, 173.727273
73.974094, 81542.968750, 10764.242694, 173.727273
468.586411, 82031.250000, 7283.161512, 173.727273
546.307942, 82519.531250, 8106.666827, 173.727273
240.273741, 83007.812500, 3098.858701, 173.727273
-130.539222, 83496.093750, 1837.590599, 173.727273
-390.474718, 83984.375000, 4991.592295, 173.727273
-580.694074, 84472.656250, 5873.731836, 173.727273
-521.729823, 84960.937500, 16314.568504, 173.727273
-118.665867, 85449.218750, 4776.080715, 173.727273
470.772556, 85937.500000, 2495.212043, 173.727273
962.664230, 86425.781250, 2291.850139, 173.727273
1073.516310, 86914.062500, 1932.803139, 173.727273
946.867759, 87402.343750, 3979.510400, 173.727273
661.725393, 87890.625000, 2460.499429, 173.727273
-85.920103, 88378.906250, 8920.118503, 173.727273
-857.461326, 88867.187500, 6710.293218, 173.727273
-1342.633484, 89355.468750, 137.371658, 173.727273
-1443.686860, 89843.750000, 762.057227, 173.727273
-1029.492503, 90332.031250, 1957.554269, 173.727273
-360.435668, 90820.312500, 3247.863157, 173.727273
362.329744, 91308.593750, 3825.345536, 173.727273
919.499270, 91796.875000, 3007.455886, 173.727273
1111.863712, 92285.156250, 8723.084216, 173.727273
941.651647, 92773.437500, 5694.298321, 173.727273
