raw_audio, filtered_data, frequency, frequency_magnitude, frequency_magnitude, threshold
2218.707520, -245.964359, 44921.875000, 24754.001419, 23585.903757, 992.727273
2218.707520, -127.887804, 45166.015625, 13768.261667, 12768.075321, 992.727273
2217.707520, 27.716737, 45410.156250, 31753.074576, 31662.859451, 992.727273
2217.707520, 216.342368, 45654.296875, 60565.893626, 51174.930486, 992.727273
2218.707520, 499.265290, 45898.437500, 200788.618285, 214498.790388, 992.727273
2281.707520, 683.009308, 46142.578125, 58958.075317, 62881.114107, 992.727273
2217.707520, 953.604180, 46386.718750, 43673.742370, 31131.629761, 992.727273
2217.707520, 1240.757988, 46630.859375, 8192.110636, 15981.202338, 992.727273
2217.707520, 1603.633759, 46875.000000, 32838.359997, 30515.121064, 992.727273
2218.707520, 1844.286105, 47119.140625, 30386.682188, 17142.979935, 992.727273
2218.707520, -1800.378168, 47363.281250, 22000.136564, 11152.519865, 992.727273
2217.707520, -1502.719016, 47607.421875, 21605.253003, 6157.020966, 992.727273
2217.707520, -1217.083239, 47851.562500, 10603.554279, 6112.380657, 992.727273
2218.707520, -948.349848, 48095.703125, 15089.955686, 9980.672023, 992.727273
2281.707520, -700.459003, 48339.843750, 15843.037952, 4708.708953, 992.727273
2218.707520, -477.068340, 48583.984375, 19009.491758, 7878.341536, 992.727273
2217.707520, -282.546007, 48828.125000, 14028.724249, 197.731836, 992.727273
2217.707520, -114.377266, 49072.265625, 9114.904548, 4270.970832, 992.727273
2218.707520, 24.012838, 49316.406250, 4502.385959, 9051.739245, 992.727273
2281.707520, 134.315168, 49560.546875, 10914.563652, 10939.306045, 992.727273
2217.707520, 216.980792, 49804.687500, 8662.788001, 3018.464893, 992.727273
2217.707520, 271.959383, 50048.828125, 10533.806240, 9071.368010, 992.727273
2218.707520, 305.634045, 50292.968750, 18264.327891, 14272.872025, 992.727273
2281.707520, 318.197862, 50537.109375, 113610.703117, 117030.564816, 992.727273
2217.707520, 313.444957, 50781.250000, 17000.083337, 20922.227148, 992.727273
2217.707520, 292.173697, 51025.390625, 28431.212375, 23646.659390, 992.727273
