index, value, filtered
887, 28, -2
888, 27, -1
889, 26, 4
890, 28, 0
891, 28, 0
892, 14, 6
893, 27, 6
894, 26, 6
895, 26, 6
896, 26, 6
897, 14, 0
898, 14, 3
899, 14, 2
900, 14, 1
901, 14, 0
902, 14, -1
903, 14, -2
904, 14, -3
905, 14, -3
906, 14, -4
907, 14, -4
908, 14, -3
909, 14, -3
910, 14, -2
911, 14, -1
912, 14, 0
913, 14, 1
914, 14, 2
915, 14, 3
916, 14, 4
917, 14, 4
918, 14, 6
919, 14, 1
920, 26, 1
921, 14, 1
922, 14, 0
923, 26, 0
924, 28, -2
925, 28, -4
926, 14, -6
927, 26, -10
928, 26, -11
929, 27, -6
930, 28, -8
931, 28, 11
932, 28, 10
933, 28, 9
934, 28, 9
935, 28, 9
936, 28, 9
937, 28, 10
938, 28, 11
939, 28, -15
940, 28, -13
941, 28, -12
942, 28, -9
943, 28, -6
944, 28, -3
945, 28, 0
946, 35, 0
947, 35, 1
948, 28, 3
949, 35, 4
950, 35, 5
951, 28, 5
952, 35, 4
953, 35, 4
954, 35, 3
955, 35, 2
956, 35, 0
957, 35, -2
958, 35, -19
959, 35, -5
960, 35, -4
961, 35, 1
962, 35, -2
963, 41, 8
964, 41, 6
965, 40, 2
966, 41, 0
967, 41, -3
968, 41, 5
969, 41, 3
970, 41, 2
971, 41, 0
972, 41, -1
973, 41, -1
974, 41, -1
975, 41, -1
976, 41, -1
977, -4, -2
978, -118, -3
979, -118, -1
980, -118, 1
981, -118, -11
982, -118, 3
983, -118, 4
984, -118, 6
985, -67, 7
986, -67, -2
987, -67, -1
988, -67, 0
989, -67, 0
990, -49, 0
991, -49, 0
992, -49, 0
993, -36, 0
994, -36, 0
995, -35, 0
996, -35, 0
997, -35, 0
998, -35, 0
999, -35, -1
1000, -28, -1
1001, -28, -1
1002, -28, -1
1003, -28, -1
1004, -28, -1
1005, -25, -1
1006, -17, -1
1007, -17, -2
1008, -17, -2
1009, -17, 9
1010, -13, -2
1011, -13, -3
1012, -13, 7
1013, -12, 9
1014, -12, 8
1015, -17, -7
1016, -12, 3
1017, -12, 2
1018, -12, 1
1019, -12, 1
1020, -12, 0
1021, -12, -1
1022, -12, -2
1023, -12, -3
1024, -12, -4
1025, -12, -4
1026, -12, -4
1027, -12, -5
1028, -12, -5
1029, -12, -4
1030, -12, -3
1031, -12, -2
1032, -12, -1
1033, -12, 0
1034, -12, 1
1035, -12, 9
1036, -12, 10
1037, -13, 3
1038, -12, 11
1039, -17, 10
1040, -12, 3
1041, -17, 8
1042, -12, 7
1043, -17, 4
1044, -12, 2
1045, -17, 0
1046, -19, -4
1047, -19, -7
1048, -17, -10
1049, -12, -13
1050, -12, -15
1051, -12, -17
1052, -19, -12
1053, 10, -12
1054, 10, -12
1055, -12, -9
1056, -19, -6
1057, 10, -2
1058, -19, 3
1059, 10, 10
1060, -21, 18
1061, -21, 26
1062, -21, 36
1063, -21, 46
1064, -21, 56
1065, -21, 67
1066, -21, 32
1067, -21, -71
1068, -21, -62
1069, -21, -54
1070, -21, -47
1071, -21, -41
1072, -21, -37
1073, -21, -34
1074, -21, 18
1075, -21, 18
1076, -21, 17
1077, -21, 15
1078, -21, 11
1079, -28, 25
1080, -17, 19
1081, -3, 14
1082, -3, 21
1083, -3, 15
1084, 12, 10
1085, 14, 4
1086, 14, -1
1087, 14, -5
1088, 26, -10
1089, 28, -6
1090, 27, -9
1091, 27, -11
1092, 26, -13
1093, 28, -14
1094, 28, -11
1095, 27, -3
1096, 27, -2
1097, 26, -1
1098, 26, -1
1099, 26, 3
1100, 27, 4
1101, 27, 5
1102, 14, 6
1103, 26, 6
1104, 26, 1
1105, 26, 6
1106, 14, 5
1107, 14, 4
1108, 26, 3
1109, 26, 2
1110, 26, 1
1111, 14, 0
1112, 14, -1
1113, 14, -2
1114, 14, -3
1115, 14, -3
1116, 14, -4
1117, 14, -4
1118, 14, -3
1119, 14, -3
1120, 14, -2
1121, 14, -1
1122, 14, 0
1123, 14, 0
1124, 14, 1
1125, 14, 2
1126, 14, 2
1127, 14, 4
1128, 26, 0
1129, 14, 5
1130, 14, 0
1131, 26, 5
1132, 26, 0
1133, 26, 4
1134, 28, -1
1135, 28, -4
1136, 26, -5
1137, 28, -5
1138, 28, -1
1139, 28, -2
1140, 28, -3
1141, 28, -11
1142, 28, 16
1143, 28, 16
1144, 28, -5
1145, 28, -12
1146, 28, 17
1147, 28, -10
1148, 28, 19
1149, 28, -10
1150, 28, -8
1151, 28, -6
1152, 28, -3
1153, 28, -1
1154, 35, 0
1155, 35, 0
1156, 35, 1
1157, 28, 2
1158, 35, 3
1159, 35, 3
1160, 35, 3
1161, 35, 3
1162, 35, 3
1163, 35, 2
1164, 35, 0
1165, 35, 0
1166, 35, -3
1167, 35, -5
1168, 35, -15
1169, 35, -8
1170, 38, 2
1171, 40, 0
1172, 41, -4
1173, 38, 7
1174, 41, 5
1175, 40, 2
1176, 41, -1
1177, 41, 7
1178, 41, 7
1179, 41, 3
1180, 41, 1
1181, 41, 0
1182, 41, 0
1183, 41, 0
1184, 41, -2
1185, 41, -2
1186, -37, -3
1187, -118, -4
1188, -118, -4
1189, -118, -1
1190, -118, 0
1191, -118, -11
1192, -118, 2
1193, -118, 3
1194, -67, 5
1195, -67, -4
1196, -67, -4
1197, -67, 8
1198, -66, 9
1199, -49, 10
1200, -49, -1
1201, -37, -1
1202, -36, 0
1203, -36, 0
1204, -35, 0
1205, -35, -1
1206, -35, -1
1207, -35, -1
1208, -28, -1
1209, -28, -1
1210, -28, -2
1211, -28, -2
1212, -28, -2
1213, -23, -2
1214, -17, -2
1215, -17, -2
1216, -17, -3
1217, -17, 8
1218, -17, -3
1219, -17, -4
1220, -12, 7
1221, -12, 6
1222, -12, 5
1223, -12, 6
1224, -12, 5
1225, -12, 1
1226, -12, 2
1227, -12, 1
1228, -12, 0
1229, -12, -1
1230, -4, -2
1231, -12, -3
1232, -12, -4
1233, -12, -5
1234, -12, -5
1235, -12, -6
1236, -12, -5
1237, -12, -5
1238, -12, -4
1239, -12, -3
1240, -12, -2
1241, -12, -1
1242, -17, 0
1243, -12, 8
1244, -12, 9
1245, -12, 9
1246, -12, 3
1247, -17, 10
1248, -17, 9
1249, -12, 9
1250, -17, 7
1251, -12, 5
1252, -12, 3
1253, -17, 0
1254, -17, -2
1255, -17, -5
1256, -17, -8
1257, -17, -12
1258, -19, -14
1259, -12, -13
1260, -12, -13
1261, -19, -13
1262, 10, -15
1263, 10, -11
1264, 10, -10
1265, 10, -5
1266, 10, 0
1267, -19, 4
1268, -21, 11
1269, 10, 20
1270, -21, 29
1271, -21, 38
1272, -21, 49
1273, -21, 59
1274, -21, 69
1275, -21, 2
1276, -21, -69
1277, -21, -60
1278, -21, -52
1279, -21, -45
1280, -21, -40
1281, -21, -35
1282, -21, -33
1283, -21, 19
1284, -21, 18
1285, -21, 17
1286, -21, 14
1287, -35, 11
1288, -19, 23
1289, -12, 18
1290, -3, 24
1291, -3, 19
1292, 12, 13
1293, 12, 8
1294, 14, 2
1295, 26, -3
1296, 27, -7
1297, 27, -5
1298, 26, -8
1299, 27, -11
1300, 28, -13
1301, 28, -14
1302, 28, -10
1303, 27, -4
1304, 27, -4
1305, 26, -3
1306, 27, -2
1307, 27, -1
1308, 27, 0
1309, 14, 5
1310, 26, 5
1311, 26, 6
1312, 14, 6
1313, 28, 6
1314, 14, 5
1315, 14, 4
1316, 14, 3
1317, 26, 2
1318, 14, 1
1319, 14, 7
1320, 14, -1
1321, 14, -2
1322, 14, -3
1323, 14, -4
1324, 14, -4
1325, 14, -4
1326, 14, -4
1327, 14, -4
1328, 14, -3
1329, 14, -2
1330, 14, -1
1331, 14, -4
1332, 14, 1
1333, 14, 2
1334, 14, 4
1335, 14, 5
1336, 14, 1
1337, 14, 1
1338, 27, 6
1339, 27, 2
1340, 14, 6
1341, 26, 5
1342, 26, 0
1343, 28, -1
1344, 28, -3
1345, 28, -5
1346, 27, -6
1347, 28, -10
1348, 28, -5
1349, 28, -6
1350, 28, -14
1351, 28, 13
1352, 28, 12
1353, 28, 12
1354, 28, 12
1355, 28, 13
1356, 28, -14
1357, 28, -14
1358, 28, 17
1359, 28, -10
1360, 28, -8
1361, 28, -5
1362, 28, -2
1363, 28, 0
1364, 35, 0
1365, 35, 1
1366, 28, 2
1367, 28, 3
1368, 35, 4
1369, 35, 4
1370, 35, 3
1371, 35, 3
1372, 35, 2
1373, 35, 1
1374, 35, -1
1375, 35, -4
1376, 35, -20
1377, 40, -8
1378, 35, -4
1379, 35, 0
1380, 38, -3
1381, 40, 7
1382, 41, 3
1383, 41, 1
1384, 40, 10
1385, 41, 8
1386, 41, 5
1387, 41, 1
1388, 41, 0
1389, 41, 0
1390, 41, -1
1391, 41, -1
1392, 41, -2
1393, 41, -2
1394, -22, -3
1395, -118, -3
1396, -118, -2
1397, -118, 0
1398, -118, -11
1399, -118, 2
1400, -118, 4
1401, -118, -5
1402, -67, 9
1403, -67, -2
1404, -67, -1
1405, -67, 0
1406, -51, 11
1407, -49, 0
1408, -49, 0
1409, -49, 0
1410, -36, 0
1411, -36, 0
1412, -35, 0
1413, -35, 0
1414, -35, 0
1415, -28, 0
1416, -35, -1
1417, -28, -1
1418, -28, -1
1419, -25, -2
1420, -17, -2
1421, -22, -2
1422, -17, -2
1423, -17, -2
1424, -19, -2
1425, -17, -3
1426, -17, -3
1427, -12, 9
1428, -12, 8
1429, -17, -4
1430, -12, 6
1431, -12, 5
1432, -12, 5
1433, -12, 4
1434, -12, 3
1435, -12, 0
1436, -12, 0
1437, -12, -1
1438, -12, -2
1439, -12, -3
1440, -12, -4
1441, -4, -4
1442, -12, -5
1443, -12, -5
1444, -12, -5
1445, -12, -5
1446, -12, -3
1447, -12, -2
1448, -12, -1
1449, -12, 0
1450, -12, 0
1451, -17, 2
1452, -12, 3
1453, -12, 11
1454, -12, 11
1455, -17, 4
1456, -12, 4
1457, -17, 10
1458, -12, 9
1459, -17, 7
1460, -17, 4
1461, -17, 2
1462, -17, -1
1463, -17, -4
1464, -17, -7
1465, -17, -11
1466, -12, -8
1467, 10, -15
1468, -12, -17
1469, -12, -16
1470, -12, -13
1471, -19, -12
1472, 10, -9
1473, 10, -6
1474, 10, -1
1475, 10, 4
1476, -19, 11
1477, -21, 18
1478, -21, 28
1479, 10, 37
1480, -21, 48
1481, -21, 58
1482, -21, 68
1483, -21, 15
1484, -21, -70
1485, -21, -61
1486, -21, -53
1487, -21, -46
1488, -21, -40
1489, -21, -36
1490, -21, -33
1491, -21, 18
1492, -21, 18
1493, -21, 16
1494, -21, 14
1495, -21, 26
1496, -35, 23
1497, -17, 18
1498, -3, 12
1499, -3, 19
1500, 10, 12
1501, 14, 7
1502, 14, 1
1503, 14, -3
1504, 14, -1
1505, 26, -12
1506, 27, -9
1507, 28, -12
1508, 28, -11
1509, 27, -4
1510, 28, -10
1511, 28, -5
1512, 28, -4
